2140360,3,0.07
2140389,27,0.07
2140424,27,0.08
2140446,3,0.1
2140491,27,0.07
2140493,81,0.05
2140538,81,0.05
2140552,81,0.05
2140561,9,0.1
2140601,243,0.07
2140621,243,0.05
2140642,3,0.1
2140644,3,0.06
2140651,3,0.08
2140686,9,0.08
2140780,27,0.09
2140782,243,0.07
2140807,81,0.06
2140841,243,0.05
2140862,9,0.05
2140897,3,0.06
2140909,9,0.06
2140937,81,0.07
2140955,243,0.08
2140982,243,0.09
2141003,9,0.08
2141150,9,0.09
2141152,3,0.07
2141175,3,0.1
2141179,9,0.08
2141193,3,0.07
2141255,243,0.05
2141318,27,0.09
2141339,9,0.1
2141385,243,0.08
2141387,81,0.05
2141401,3,0.1
2141413,27,0.09
2141436,9,0.09
2141466,81,0.06
2141544,81,0.08
2141652,9,0.1
2141655,243,0.1
2141658,243,0.07
2141692,3,0.1
2141697,27,0.05
2141736,81,0.08
2141746,9,0.05
2141753,243,0.06
2141781,9,0.05
2141783,3,0.07
2141787,9,0.07
2141812,27,0.06
2141852,3,0.05
2141865,243,0.06
2141927,3,0.05
2141928,9,0.09
2141932,81,0.05
2141938,81,0.05
2141950,243,0.1
2141959,27,0.06
2142026,3,0.08
2142052,27,0.07
2142070,243,0.07
2142074,3,0.08
2142080,3,0.05
2142091,3,0.06
2142095,27,0.08
2142111,3,0.05
2142183,9,0.06
2142186,81,0.06
2142191,243,0.05
2142244,9,0.05
2142272,243,0.1
2142279,243,0.05
2142280,81,0.07
2142372,3,0.07
2142405,243,0.08
2142433,81,0.09
2142451,81,0.1
2142490,27,0.08
2142501,243,0.08
2142508,81,0.09
2142522,243,0.09
2142575,81,0.06
2142628,9,0.09
2142633,27,0.05
2142657,243,0.06
2142663,81,0.06
2142669,243,0.07
2142675,81,0.07
2142730,3,0.09
2142733,9,0.06
2142778,27,0.08
2142913,27,0.06
2154965,27,0.09
2154980,27,0.1
2155012,9,0.07
2155064,27,0.09
2155080,27,0.07
2155148,27,0.07
2155156,3,0.05
2155220,243,0.09
2155278,81,0.08
2155343,81,0.1
2155467,81,0.1
2155506,243,0.05
2155869,9,0.08
2156061,81,0.07
2156069,27,0.09
2156072,9,0.05
2156074,81,0.08
2156089,3,0.09
2156121,243,0.07
2156123,27,0.08
2156155,3,0.06
2156178,27,0.07
2156245,27,0.07
2156343,27,0.09
2156404,3,0.08
2156425,81,0.1
2156435,81,0.06
2156488,27,0.1
2156490,81,0.05
2156514,9,0.07
2156529,81,0.08
2156537,27,0.05
2156545,81,0.09
2156550,27,0.05
2156581,9,0.07
2156669,3,0.07
2156685,3,0.06
2156693,3,0.09
2156718,243,0.07
2156720,243,0.06
2156733,9,0.06
